name,dynasty,description
温庭筠,[唐] 812年 ~ 866年,温庭筠，唐代诗人、词人。本名岐，字飞卿，太原祁（今山西祁县东南）人。富有天才，文思敏捷，每入试，押官韵，八叉手而成八韵，所以也有“温八叉”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，取憎于时，故屡举进士不第，长被贬抑，终生不得志。官终国子助教。精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词艺术成就在晚唐诸词人之上，为“花间派”首要词人，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。存词七十余首。后人辑有《温飞卿集》及《金奁集》。
王维,[唐] 701年 ~ 761年,王维，字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有“相思”“山居秋暝”等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。
韩愈,[唐] 768年 ~ 824年,韩愈，字退之，唐代文学家、哲学家、思想家，河阳（今河南省孟州市）人，汉族，郡望河北昌黎，世称韩昌黎。晚年任吏部侍郎，又称韩吏部。是唐代古文运动的倡导者。谥号“文”，又称韩文公。后人尊称他为“唐宋八大家”之首，与柳宗元并称“韩柳”，有“文章巨公”和“百代文宗”之名。曾积极参加讨伐淮西叛藩吴元济的战争，任裴度的行军司马。思想上，韩愈崇奉儒学，力排佛老。著有《韩昌黎集》四十卷，《外集》十卷，《师说》等等。他提出的文道合一、气盛言宜、务去陈言、文从字顺等散文的写作理论，对后人很有指导意义。
岑参,[唐] 715年 ~ 770年,岑参（cénshēn），唐代诗人，原籍南阳（今属河南新野），迁居江陵（今属湖北）。汉族，荆州江陵（湖北江陵）人，去世之时56岁，是唐代著名的边塞诗人。其诗歌富有浪漫主义的特色，气势雄伟，想象丰富，色彩瑰丽，热情奔放，尤其擅长七言歌行。
张祜,[唐] 約785年 ~ 849？年,张祜（hù）：字承吉，行三，生卒年不确。郡望清河东武城（今山东武城西北），籍贯南阳（今属河南），晚年居丹阳（今属江苏）。初依李光颜，后寓姑苏，曾谒白居易。长庆中令狐楚表荐之，为内臣所抑，一说为元稹所抑。遂至淮南。会昌五年，往谒池州刺史杜牧，游宴唱和，甚为相得。会昌末大中初，经楚州北游河阳、滑州等地。后归丹阳曲阿地，筑室隐居，以布衣终身。虽「屡蒙方镇论荐」，却未沾朝廷寸禄。长年浪迹江湖，或为外府从事，或为大僚幕宾。所历之地极广，北至塞北，南极岭南，西至襄 汉、马嵬，东极于海，均有诗篇可考。自云「颠狂遍九州」，陆龟蒙谓祜「受辟诸侯府，性狷介不容物，辄自劾去」（《甫里先生文集·卷十·和过张祜处士丹阳故居》诗序。《唐诗纪事·卷五十二》作「皮日休云」，误。）故一生蹭蹬。卒于唐宣宗 大中年间，年约六十馀。祜诗之佳者首推宫词，委婉多讽，艺术造诣之高，容或在元、白之上。次则体物图貌，描绘山水，题咏名寺之作，诚如陆龟蒙所云：「善题目佳境，言不可刊置别处。」（《甫里先生文集·卷十·和过张祜处士丹阳故居》诗序。）其边塞诗数量虽少而质量却高，能嗣高、岑遗响。其投献大僚诸作，类皆五言长律，颇见工力，按之皆与史合，有少陵之遗风。祜诗无僻字僻典，无诡怪陆离之状，纯熟工整，流转自然。俱眼前事、眼前景，人人习见，而祜为之，情趣盎然，平易近人而不流于浅易庸俗。上海古籍出版社影宋 蜀刻《张承吉文集》十卷，最称完备。《全唐诗》存诗二卷，遗漏甚多。《全唐诗外编》及《全唐诗续拾》补诗一百五十五首，断句八，题一则。事迹见《唐诗纪事·卷五十二》、《唐才子传·卷六》、《云溪友议》等。谭优学有《张祜行年考》。
方干,[唐] 836年 ~ 903年,方干为人质野，喜凌侮。每见人设三拜，曰礼数有三，时人呼为“方三拜”。爱吟咏，深得师长徐凝的器重。一次，因偶得佳句，欢喜雀跃，不慎跌破嘴唇，人呼“缺唇先生”。桐庐章八元爱其才，招为过门女婿，遂居家桐江白云源（今桐庐县芦茨乡）。唐宝历中，参加科举考试不第。以诗拜谒钱塘太守姚合。初次见面，因其容貌丑陋，姚合看不起他，待读过方干诗稿后，为其才华所动，于是满心欢喜，一连款待数日。开成年间，常与寓居桐江的喻凫为友，并与同里人李频唱和，诗来歌往，关系甚笃。大中年间，流寓会稽鉴湖。咸通年间，浙东廉访使王龟慕名邀请，一经交谈，觉得方干不仅才华出众，且为人耿直，于是竭力向朝廷推荐。终因朝廷腐败，忌贤妒能，不被起用。后人赞叹他“身无一寸禄，名扬千万里”。 方干擅长律诗，清润小巧，且多警句。其诗有的反映社会动乱，同情人民疾苦；有的抒发怀才不遇，求名未遂的感怀。文德元年（公元888年），方干客死会稽，归葬桐江。门人相与论德，谥曰“玄英先生”，并搜集他的遗诗三百七十馀篇，编成《方干诗集》传世。《全唐诗》编有方干诗六卷三百四十八篇。宋景佑年间，范仲淹守睦州，绘方干像于严陵祠配享。
权德舆,[唐] 759年 ~ 818年,权德舆，唐代文学家，大臣。字载之，行三。天水略阳（今甘肃秦安）人，家于润州丹阳（今江苏丹阳）。名士权皋子。未冠，即以文章称，杜佑、裴胄交辟之。德宗闻其材，召为太常博士，改左补阙，兼制诰，进中书舍人，历礼部侍郎，三知贡举。宪宗元和初，历兵部、吏部侍郎，坐郎吏误用官阙，改太子宾客。俄复前官，迁太常卿，拜礼部尚书，同平章事。会李吉甫再秉政，帝又自用李绛，议论持异，德舆从容不敢有所轻重，坐是罢，以检校吏部尚书留守东都。复拜太常卿，徙刑部尚书，出为山南西道节度使。二年，以病乞还，卒于道，年六十。赠左仆射，谥曰文。
韦庄,[唐] 836年 ~ 910年,韦庄，字端己，京兆杜陵（今陕西省西安市）人。晚唐政治家，诗人。广明元年（880年）韦庄在长安应举，黄巢攻占长安以后，与弟妹失散，浪迹天涯。中和三年（883年）三月，在洛阳写有长篇歌行《秦妇吟》。昭宗乾宁元年（894年）进士，曾任校书郎、左补阙等职。乾宁四年（897年），李询为两川宣谕和协使，聘用他为判官。在四川时为王建掌书记，蜀开国制度皆庄所定，官至吏部尚书，同平章事，武成三年（910年）八月，卒于成都花林坊。葬白沙之阳。谥文靖。
卢纶,[唐] 737年 ~ 799年,卢纶，字允言，唐代诗人，大历十才子之一，汉族，河中蒲（今山西省永济县）人。天宝末举进士，遇乱不第；代宗朝又应举，屡试不第。大历六年，宰相元载举荐，授阌乡尉；后由王缙荐为集贤学士，秘书省校书郎，升监察御史。出为陕府户曹、河南密县令。后元载、王缙获罪，遭到牵连。德宗朝复为昭应令，又任河中浑瑊元帅府判官，官至检校户部郎中。有《卢户部诗集》。
韩偓,[唐] 842年 ~ 923年,韩偓，晚唐五代诗人，字致光，号致尧，晚年又号玉山樵人。陕西万年县（今樊川）人。自幼聪明好学，10岁时，曾即席赋诗送其姨夫李商隐，令满座皆惊，李商隐称赞其诗是“雏凤清于老凤声”。龙纪元年（889年），韩偓中进士，初在河中镇节度使幕府任职，后入朝历任左拾遗、左谏议大夫、度支副使、翰林学士。
张说,[唐] 667年 ~ 731年,唐河南洛阳人，先世范阳人，居河东，字道济，一字说之。武则天时应诏对策乙等，授太子校书。中宗时为黄门侍郎。睿宗时进同中书门下平章事，劝睿宗以太子李隆基监国。玄宗开元初任中书令，封燕国公。后历兵部尚书、同中书门下三品，兼朔方军节度使，奏罢边兵二十余万，又以府兵多逃亡，奏罢当番卫士，招募壮士以充宿卫。再兼中书令，又为修书使，知丽正书院事。长于文辞，朝廷重要文件多出其手，与许国公苏颋并称“燕许大手笔”。为李林甫所挤，罢相。卒谥文贞。有集。
杜荀鹤,[唐] 846年 ~ 904年,杜荀鹤，字彦之，号九华山人，池州石埭（今石台县贡溪乡杜村）人。晚唐诗人。相传为杜牧已出之妾所生，排行第十五，故称杜十五。幼好学。四十六岁才中进士。五代梁太祖（朱温）时，授员外郎、知制诰；最后任翰林学士，仅五日而卒，恃强胡为。工于诗，有“风暖鸟声碎，日高光鼎重”之句。天佑初卒。著有《唐风集》三卷，顾云为之序，“其壮语大言，则决起逸发，可以左揽工部袂，右拍翰林肩。”。严羽《沧浪诗话·诗体》列有“杜荀鹤体”。
郑谷,[唐] 851年 ~ 910年,郑谷，唐朝末期著名诗人。字守愚，汉族，江西宜春市袁州区人。僖宗时进士，官都官郎中，人称郑都官。又以《鹧鸪诗》得名，人称郑鹧鸪。其诗多写景咏物之作，表现士大夫的闲情逸致。风格清新通俗，但流于浅率。曾与许棠、张乔等唱和往还，号“芳林十哲”。原有集，已散佚，存《云台编》。
李中立,[宋] ? ~ ?,
戴叔伦,[唐] 732年 ~ 789年,戴叔伦，唐代诗人，字幼公（一作次公），润州金坛（今属江苏）人。年轻时师事萧颖士。曾任新城令、东阳令、抚州刺史、容管经略使。晚年上表自请为道士。其诗多表现隐逸生活和闲适情调，但《女耕田行》、《屯田词》等篇也反映了人民生活的艰苦。论诗主张“诗家之景，如蓝田日暖，良玉生烟，可望而不可置于眉睫之前”。其诗体裁皆有所涉猎。今存诗二卷，多混入宋元明人作品，需要仔细辨伪。
吴融,[唐] 850年 ~ 903年,吴融，字子华，吴翥孙，唐越州山阴人，生于唐宣宗大中四年（公元850年），卒于唐昭宗天复三年（公元903年），享年五十四岁。唐昭宗龙纪进士。韦昭度讨蜀，表掌书记。坐累去官，流浪荆南，依成汭。后以礼部郎中为翰林学士，拜中书舍人。唐昭宗反正，御南阙受贺，融最先至，草十数诏，语当意详，进户部侍郎。终翰林承旨。有《唐英歌诗》。
李端,[唐] 743年 ~ 782年,唐代诗人，大历十才子之一，字正已，赵州（今河北赵县）人，出自赵郡李氏东祖。嘉祐从侄。少居庐山，师从名僧皎然学诗。大历五年中进士，后历任秘书省校书郎、终官杭州司马。晚年隐居湖南衡山，自号衡岳幽人，约卒于兴元元年（公元784年）之后数年。子李虞仲。据说李端曾在驸马郭暧筵上立成七律二首。其诗多为应酬之作，多表现消极避世思想，个别作品对社会现实亦有所反映，一些写闺情的诗也清婉可诵，其风格与司空曙相似。乔亿以为李端诗“思致弥清，径陌迥别，品第在卢允言、司空文明之上。”。传世作品有《李端诗集》三卷。
薛能,[唐] ? ~ ?,唐汾州人，字大拙。武宗会昌六年进士第。宣宗大中末书判中选，补盩厔尉。懿宗咸通中摄嘉州刺史，历工部尚书、节度徐州，徙忠武。僖宗广明元年，周岌逐能自称留后，因屠其家。癖于诗，日赋一章，有《江山集》、《许昌集》。
赵嘏,[唐] ? ~ ?,赵嘏，生卒年不详，字承佑，楚州山阳（今江苏省淮安市淮安区）人，唐代诗人，约公元835年前后在世。
徐铉,[宋] 916年 ~ 991年,徐铉，南唐、北宋初年文学家、书法家。字鼎臣，广陵（今江苏扬州）人。历官五代吴校书郎、南唐知制诰、翰林学士、吏部尚书，后随李煜归宋，官至散骑常侍，世称徐骑省。淳化初因事贬静难军行军司马。曾受诏与句中正等校定《说文解字》。工于书，好李斯小篆。与弟徐锴有文名，号称“二徐”；又与韩熙载齐名，江东谓之“韩徐”。
孟浩然,[唐] 689年 ~ 740年,孟浩然，唐代诗人，孟子第33代。本名不详（一说名浩），字浩然，襄州襄阳（今湖北襄阳）人，世称“孟襄阳”。浩然，少好节义，喜济人患难，工于诗。年四十游京师，唐玄宗诏咏其诗，至“不才明主弃”之语，玄宗谓：“卿自不求仕，朕未尝弃卿，奈何诬我？”因放还未仕，后隐居鹿门山，著诗二百余首。孟浩然与另一位山水田园诗人王维合称为“王孟”。
徐夤,[唐] ? ~ ?,徐夤也称徐寅，男，字昭梦，莆田即今福建莆田市人。博学多才，尤擅作赋。为唐末至五代间较著名的文学家。文集有《徐正字诗赋》二卷，收赋八首，收诗三百六十八首。著作有《徐正字诗赋》二卷等。早年所作《人生几何赋》、《斩蛇剑》、《御沟水》等，远传至渤海等国，其人皆以金书列为屏障。然而，他却屡举进士不第，至唐末方得以“榜上有名”。梁开平元年（公元907年）再试进士，中第一名，为福建历史上第二个状元。因梁太祖指其《人生几何赋》中“一皇五帝不死何归”句，要其改写，徐夤答“臣宁无官，赋不可改”，梁太祖怒削其名籍。东归，闽王审知礼聘入幕，官秘书省正字。其试场所作《止戈为武赋》亦传诵一时。五代时依王审之，不得志，归隐家乡，卒。有《探龙集》等多种著作，《全唐诗》收录其诗220余首。这是常见有关徐夤的资料，《记考》及《十国春秋》均有载，也被《中国人名大辞典》、《中国文学家辞典》（古代第二分册）、《中国文学家大辞典》、《中国古代诗词曲词典》等引用。然而这些记载并不全面，都遗漏了一个重要的情节——徐夤曾于后梁重新参加进士考试而夺魁。《四库提要》称其为“盖其后裔从《唐音统签》、《文苑英华》诸书裒辑成编，附刻家乘之后者”。阮元所编《四库未收书提要》中著录徐夤《钓矶文集》五卷，称：“此为钱遵王所藏影宋本。据其族孙师仁序云，家故有《赋》五卷，《探龙集》五卷，又于蔡君谟家得《雅道机要》，访得诗二百五十余首，以类相从为八卷也。
皇甫冉,[唐] 718年 ~ 771年,皇甫冉，字茂政，润州丹阳（今江苏镇江）人，唐代诗人。先世居甘肃泾州。天宝十五年进士。曾官无锡尉，大历初入河南节度使王缙幕，终左拾遗、右补阙。其诗清新飘逸，多飘泊之感。
李群玉,[唐] 808年 ~ 862年,李群玉，字文山，唐代澧州人。澧县仙眠洲有古迹「水竹居」，旧志记为「李群玉读书处」。李群玉极有诗才，他「居住沅湘，崇师屈宋」，诗写得十分好。《湖南通志·李群玉传》称其诗「诗笔妍丽，才力遒健」。关于他的生平，据《全唐诗·李群玉小传》载，早年杜牧游澧时，劝他参加科举考试，并作诗《送李群玉赴举》，但他「一上而止」。后来，宰相裴休视察湖南，郑重邀请李群玉再作诗词。他「徒步负琴，远至辇下」，进京向皇帝奉献自己的诗歌「三百篇」。唐宣宗「遍览」其诗，称赞「所进诗歌，异常高雅」，并赐以「锦彩器物」，「授弘文馆校书郎」。三年后辞官回归故里，死后追赐进士及第。周新国先生《武陵藏珍》记载：李群玉一生交遊广，足迹遍及河南、河北、陕西、大江南北。李群玉著有诗前集三卷，后集五卷。《全唐诗》录他的诗二百六十三首。他是晚唐重要诗人，与齐己、胡曾被列为唐代湖南三诗人。唐末周朴《吊李群玉》诗赞道：「群玉诗名冠李唐，投书换得校书郎。吟魂醉魄归何处，空有幽兰隔岸香。」他还是记载「长沙窑」的第一人。
李贺,[唐] 790年 ~ 816年,李贺，唐代著名诗人，汉族，河南福昌人。字长吉，世称李长吉、鬼才、诗鬼等，与李白、李商隐三人并称唐代“三李”。祖籍陇西，生于福昌县昌谷（今河南洛阳宜阳县）。一生愁苦多病，仅做过3年从九品微官奉礼郎，因病27岁卒。李贺是中唐浪漫主义诗人的代表，又是中唐到晚唐诗风转变期的重要人物。
顾况,[唐] ? ~ ?,顾况，生卒年不详，字逋翁，号华阳真逸（一说华阳真隐），晚年自号悲翁，汉族，苏州海盐横山人（今在浙江海宁境内），唐代诗人、画家、鉴赏家。他一生官位不高，曾任著作郎，因作诗嘲讽得罪权贵，贬饶州司户参军。晚年隐居茅山。
司空图,[唐] 837年 ~ 908年,唐河中虞乡人，字表圣，自号知非子、耐辱居士。懿宗咸通十年登进士第。卢携知政事，召为礼部员外郎。僖宗次凤翔，召图知制诏，寻拜中书舍人。昭宗龙纪初，复召拜舍人，以疾辞。乾宁中，又以户部侍郎征，数日乞还。隐中条山王官谷，作文以伸志。晚年为文，尤事放达。后梁代唐，闻哀帝被杀，绝食而卒。有《二十四诗品》(有云非图所撰)及诗集、文集。
